"","PVal","AvgMeth","PValClone"
"AMPL371420",4.07275362856209e-43,0.527979834353619,1.34552615897501e-19
"AMPL355947",2.09253652958524e-17,0.677781778898091,9.20048917461441e-244
"AMPL390594",0.1590693149112,0.996975153042852,0.985710229949585
"AMPL355546",2.13454068076615e-57,0.668347137198416,7.36978861238322e-14
"AMPL355932",5.66258339299055e-05,0.837882607129996,0
"AMPL365895",1.12978604107277e-22,0.692401872524307,3.24656593040362e-06
"AMPL365894",4.27547886575314e-38,0.663809866762694,9.43905662173977e-14
"AMPL371600",9.63780379200521e-24,0.669931580842636,4.57039956480136e-20
"AMPL355545",0.150699669954803,0.974432841195535,1
"AMPL365945",1.91505689861195e-05,0.570615772416277,6.3477100619111e-14
"AMPL365823",5.76430908358588e-09,0.489305005401512,2.87387601517141e-24
"AMPL365750",6.15879424550644e-38,0.749729924378826,9.36814713394167e-23
"AMPL371732",0.000593364380878824,0.519697515304285,5.00713368427159e-286
"AMPL371479",2.65355368362727e-13,0.741951746489017,2.00290904667129e-68
"AMPL371488",7.03456099476425e-15,0.471876125315088,5.52288606909794e-191
"AMPL365844",0.106935073144996,0.373856679870364,1.2009696444977e-116
"AMPL365790",0.0501952341035278,0.965214259992798,8.72219839726801e-05
"AMPL371358",2.40777398758291e-18,0.397695354699316,0.00247145198153562
"AMPL371262",8.43725862418571e-16,0.724882967230825,8.08271879319981e-25
"AMPL366082",1.92142744364171e-44,0.6925459128556,3.14654053294171e-18
"AMPL365923",2.89068037624296e-08,0.417428880086424,6.64408450761118e-248
"AMPL390593",6.3087299260655e-09,0.772848397551314,2.89474673939875e-46
"AMPL366042",1.81780368357458e-12,0.552250630176449,6.74740978056467e-20
"AMPL371491",9.46072262798262e-05,0.778682030968671,2.63067479632427e-113
"AMPL371429",4.76742536657782e-07,0.834137558516385,9.25797894405793e-229
"AMPL376551",1.7410408987916e-54,0.776665466330573,1.64903408620072e-07
"AMPL376320",0.199680285810557,0.724162765574361,2.31456406550331e-59
"AMPL389990",7.5814505321002e-09,0.624126755491538,1.53699675610813e-07
"AMPL366090",9.73898237811107e-37,0.352466690673389,9.36681424092779e-40
"AMPL376917",4.28825228141437e-55,0.449693914296003,1.29578271422728e-25
"AMPL376929",0.000146498926797071,0.68397551314368,6.10740838284796e-99
"AMPL388261",4.41632801558096e-05,0.799063737846597,9.65307280953202e-116
"AMPL366052",1.81653981152396e-40,0.714368023046453,1.09021934533118e-45
"AMPL366022",7.44649580827043e-46,0.762549513863882,4.36585784452824e-18
"AMPL388732",1.21178050496011e-19,0.630104429240187,7.89143840400587e-17
"AMPL390447",0.00538010721797221,0.721930140439323,2.36482300421754e-259
"AMPL390601",0.00133742206352001,0.805689593086064,0
"AMPL366088",5.79855939216469e-21,0.474684911775297,2.30960983869284e-24
"AMPL365853",7.99503039748321e-12,0.43701836514224,3.86424534472005e-05
"AMPL390570",0.00197135766541024,0.664314007922218,0
"AMPL366029",0.00155686941197749,0.261937342455888,0
"AMPL388788",6.38612771213235e-31,0.527691753691033,4.77860319668433e-33
"AMPL365896",5.23887199821278e-21,0.882247029168167,0.000782087749723697
"AMPL388408",0.000119616552897813,0.617788980914656,0
"AMPL388483",4.56735717520076e-17,0.603312927619734,3.21330719459488e-11
"AMPL389956",0.00993902221856586,0.318905293482175,0
"AMPL389970",7.3213914692504e-16,0.757580122434282,0
"AMPL388223",0.0555296507154078,0.967662945624775,1
"AMPL365981",1.08387579196061e-09,0.256031688872884,1.55550043149692e-60
"AMPL390597",2.96590106686068e-16,0.489016924738927,3.31160246804348e-22
"AMPL366053",9.40955161585193e-30,0.264314007922218,6.65912930683163e-19
"AMPL390487",4.76029141093904e-16,0.667770975873245,3.66211273141269e-12
"AMPL376483",1.09622097978197e-06,0.746777097587324,1
"AMPL388272",0.000322766178956678,0.867482895210659,8.33769445759259e-282
"AMPL388372",0.000989044633476995,0.807634137558516,0
"AMPL388655",3.25288608889321e-15,0.420453727043572,1.03931096017696e-06
"AMPL390581",0.00689262913155166,0.947641339575081,5.23275305929447e-06
"AMPL388628",0.00131184595993605,0.831760893050054,6.28172549310756e-70
"AMPL388687",4.25692835214649e-09,0.238170687792582,1.92026168612312e-133
"AMPL376587",4.36516451591543e-21,0.602160604969391,7.59782251454588e-167
"AMPL388762",5.16522102210792e-09,0.6268635217861,6.39569076403033e-302
"AMPL388291",8.30252709702474e-24,0.553186892329852,1.57259877683445e-12
"AMPL376465",0.000450937906938705,0.806193734245589,0
"AMPL388609",0.0415782251267336,0.98667626935542,1
"AMPL389976",0.0690705987524317,0.998343536190133,1
"AMPL388660",4.10752294477889e-07,0.864890169247389,3.44460153035276e-91
"AMPL388494",0.000236984651577492,0.847749369823551,3.21488662592309e-72
"AMPL388807",1.95234396301521e-07,0.097731364782139,1.28532828098115e-114
