"","PVal","AvgMeth","PValClone"
"AMPL376733",8.8642174099001e-12,0.469283399351825,0
"AMPL390626",0.000149777033004403,0.290025207057982,0
"AMPL365730",0.000244251837643885,0.608786460208857,2.43234085567739e-211
"AMPL390006",1.42257147394475e-08,0.989629096146921,1
"AMPL371756",7.23374579808233e-22,0.797047173208487,2.70480866357296e-135
"AMPL355580",0.00603104217982854,0.850270075621176,0
"AMPL365940",5.42707019472298e-08,0.877709758732445,2.80900333736827e-220
"AMPL366193",2.17377465382343e-23,0.485992077781778,0.000916558348748757
"AMPL377424",0.00791317959435962,0.906157724162766,1.85480223660064e-66
"AMPL377537",8.87253275317379e-05,0.0610731004681305,1
"AMPL378928",0.000282169396323112,0.82254231184732,9.43340905181759e-72
"AMPL378501",0.030972980304124,0.607922218221102,0
"AMPL388692",6.7635513998763e-08,0.844148361541231,7.97871228534948e-112
"AMPL355676",0.00200177124087814,0.73971912135398,7.82676082458032e-135
"AMPL355831",0.00184051169309817,0.494130356499819,0
"AMPL376547",0.00343770251932626,0.976449405833633,0.00499575876607603
"AMPL371772",0.000125617615990257,0.746921137918623,0
"AMPL371261",0.115038995829949,0.998703637018365,1
"AMPL371729",2.96856939678811e-23,0.529276197335254,2.36949247600308e-07
"AMPL371483",0.0133959932390205,0.862153402952826,6.95569703974224e-199
"AMPL371172",0.00216353758103799,0.90126035289881,8.65362711911607e-151
"AMPL371792",5.91900367838567e-14,0.483831472812384,1.5138205237633e-26
"AMPL371355",7.72979573105498e-05,0.707886208138274,0
"AMPL355534",4.26746501643996e-08,0.805113431760891,6.46461388917755e-48
"AMPL377174",4.17199833666711e-52,0.863017644940583,2.38341023989777e-15
"AMPL366007",1.13025497796085e-07,0.878285920057615,1.16195738134842e-09
"AMPL366182",0.0108691384980164,0.860785019805544,0
"AMPL371512",0.0528183051971305,0.424342815988475,0
"AMPL390462",0.0582951232918936,0.985956067698954,0.000121876199850335
"AMPL378486",4.45600543164115e-06,0.877781778898095,0
"AMPL371404",4.73346143389856e-21,0.306661865322289,2.26109484719873e-10
"AMPL376643",0.0278632160936956,0.969535469931582,1.94747190959783e-127
"AMPL390336",1.17302260719751e-05,0.529276197335261,0
"AMPL390512",0.0416785376257524,0.92653943104069,0
"AMPL371317",9.47309331823722e-06,0.427079582283034,0
"AMPL371811",6.50199948711215e-12,0.800720201656466,0
"AMPL376577",0.0398874922222474,0.846669067338857,1.54788263720043e-14
"AMPL376593",0.0085570807027034,0.437522506301765,0
"AMPL371251",0.0063041905000244,0.749513863881896,0
"AMPL371471",2.01259840560808e-05,0.948505581562837,2.10856903781082e-08
"AMPL371303",0.0266696107662699,0.255167446885123,0
"AMPL377510",0.00611927755534739,0.925891249549873,5.09239555993794e-226
"AMPL365861",1.0272491344702e-26,0.334605689593084,2.5100469901141e-10
"AMPL371644",3.07947278048264e-06,0.589485055815628,2.42262154130258e-276
"AMPL365729",0.00641009515447226,0.923010442924023,8.84653486644835e-31
"AMPL388345",0.001874311160975,0.351170327691755,0
"AMPL371773",1.16330470786925e-05,0.641699675909231,0
"AMPL371292",0.00570490862383783,0.526179330212452,0
"AMPL371810",0.0101249929364853,0.543896290961468,0
"AMPL376843",4.00766465762232e-08,0.900396110911051,3.45407947527625e-83
"AMPL390223",0.0244207090523308,0.347857400072022,0
"AMPL371812",0.00185080036972288,0.797551314368023,0
"AMPL390215",1,0.999711919337414,1
"AMPL371589",9.73444468297951e-52,0.616420597767375,6.22056924549812e-18
"AMPL371389",3.63827786805513e-27,0.859848757652141,1
"AMPL371271",1.14093788593733e-17,0.887144400432121,1.44807133573054e-06
"AMPL371265",1.02143205578667e-21,0.67778177889809,1.96159201731535e-17
"AMPL366159",1.82031412274349e-43,0.731076701476415,8.8170418174979e-10
